t,Ta,F(Ta)
0,273.15,0.197541
1,274.15,0.169491
2,275.15,0.141946
3,276.15,0.1149
4,277.15,0.088344
5,278.15,0.06227
6,279.15,0.036671
7,280.15,0.011536
8,281.15,-0.013142
9,282.15,-0.037375
10,283.15,-0.061171
11,284.15,-0.084541
12,285.15,-0.107496
13,286.15,-0.130045
14,287.15,-0.152199
15,288.15,-0.173971
16,289.15,-0.195369
17,290.15,-0.216407
18,291.15,-0.237095
19,292.15,-0.257443
20,293.15,-0.277465
21,294.15,-0.297171
22,295.15,-0.316572
23,296.15,-0.33568
24,297.15,-0.354507
25,298.15,-0.373064
26,299.15,-0.391362
27,300.15,-0.409413
28,301.15,-0.427228
29,302.15,-0.444818
30,303.15,-0.462195
31,304.15,-0.479369
32,305.15,-0.496352
33,306.15,-0.513155
34,307.15,-0.529789
35,308.15,-0.546263
36,309.15,-0.56259
37,310.15,-0.578778
38,311.15,-0.59484
39,312.15,-0.610785
40,313.15,-0.626623
